name,company,location,average_salary
[Thanh Chuong - Nghe An] Nhan Vien Tu Van Ban Hang,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Nghe An,8.0
[Con Cuong - Nghe An] Nhan Vien Tu Van Ban Hang,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Nghe An,8.0
[Nam Dan - Nghe An] Nhan Vien Tu Van Ban Hang,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Nghe An,8.0
Nhan Vien Hanh Chinh - Ke Toan (Anh Hoac Nhat) - Quan Binh Thanh,CareerLink's Client,TP HCM,13.0
[Thanh pho Ha Long - Quang Ninh] Nhan Vien Tu Van Ban Hang,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Quang Ninh,9.5
[TU KY - HAI DUONG] NHAN VIEN TU VAN BAN HANG,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Hai Duong,8.5
[YEN KHANH - NINH BINH] NHAN VIEN TU VAN BAN HANG,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Ninh Binh,8.0
[Ngo Quyen - Hai Phong] Nhan Vien Tu Van Ban Hang,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Hai Phong,10.0
"[VINH BAO, HAI PHONG] NHAN VIEN TU VAN BAN HANG",Cong Ty Co Phan Ban Le Ky Thuat So FPT,Hai Phong,4.3
[HO CHI MINH] NHAN VIEN QUAN LY KY THUAT CNTT,Cong Ty Co Phan Ban Le Ky Thuat So FPT,TP HCM,9.0
[Tri Ton - An Giang] Nhan Vien Tu Van Ban Hang,Cong Ty Co Phan Ban Le Ky Thuat So FPT,An Giang,9.5
Nhan Vien Sale Admin (English/Japanese N3),Cong Ty TNHH Vietnamhouse,Ha Noi,11.5
Ky Su Quy Trinh San Xuat (PE Staff)- Bac Ninh,Cong Ty TNHH Sumitomo Electric Interconnect Products Viet Nam,Bac Ninh,14.1
10 KY THUAT VIEN CO DIEN,Cong Ty TNHH Sumitomo Electric Interconnect Products Viet Nam,Bac Ninh,9.0
NHAN VIEN THU NO TRUC TIEP TAI MOC CHAU - SON LA (THU NHAP HAP DAN),"HD SAISON FINANCE CO., LTD.",Son La,20.0
[TP. Soc Trang - Soc Trang] Nhan Vien Ho Tro Ky Thuat DTDD/LAPTOP,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Soc Trang,9.5
NHAN VIEN THU NO TRUC TIEP TAI SON LA (THU NHAP CAO),"HD SAISON FINANCE CO., LTD.",Son La,20.0
Nhan Vien Kinh Doanh Khu Vuc Moc Chau - Son La,Cong ty Co Phan Luong Thuc A An,Son La,12.0
NHAN VIEN THU NO TRUC TIEP TAI PHU YEN - SON LA (THU NHAP HAP DAN),"HD SAISON FINANCE CO., LTD.",Son La,20.0
01 KY SU BAO DUONG,Cong Ty TNHH Sumitomo Electric Interconnect Products Viet Nam,Bac Ninh,14.1
NHAN VIEN MUA HANG,CONG TY TNHH KIM MAY ORGAN (VIET NAM),TP HCM,10.0
"Nhan Vien Sales Vat Tu Nong Nghiep, Phan Bon (Binh Duong, Vung Tau, Dong Nai)",Cong Ty TNHH TM DV Dien Khanh,Binh Duong,13.5
NHAN VIEN QC LAB,CONG TY CO PHAN THAI VIET CORPORATION,Binh Phuoc,11.0
[TP. Soc Trang - Soc Trang] Nhan Vien Ke Toan Ban Hang / Thu Ngan,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Soc Trang,9.5
Nhan Vien Kinh Doanh Khu Vuc Ha Nam,Cong ty Co Phan Luong Thuc A An,Ha Nam,12.0
Nhan Vien Kinh Doanh Khu Vuc Nghe An,Cong ty Co Phan Luong Thuc A An,Nghe An,12.0
Nhan Vien Kinh Doanh Khu Vuc Hai Phong,Cong ty Co Phan Luong Thuc A An,Hai Phong,12.0
Ke Toan Truong,Cong Ty CP Thuan Duc,Hung Yen,22.5
Nhan Vien Ke Toan Cong No,Cong Ty CP Thuan Duc,Hung Yen,7.75
NHAN VIEN C&B,CONG TY CO PHAN THAI VIET CORPORATION,Binh Phuoc,9.0
"Nhan Vien Kinh Doanh [OCEAN EDU - Vinh Yen 2, Vinh Phuc]",He Thong Anh Ngu Quoc Te Ocean Edu,Vinh Phuc,10.0
KY SU XAY DUNG,CONG TY CO PHAN THAI VIET CORPORATION,Binh Phuoc,19.5
NHAN VIEN THU MUA,CONG TY CO PHAN THAI VIET CORPORATION,Binh Phuoc,11.5
"Nhan Vien Cham Soc Khach Hang [OCEAN EDU - Vinh Yen 2, Vinh Phuc]",He Thong Anh Ngu Quoc Te Ocean Edu,Vinh Phuc,10.0
[OceanEdu_Tuyen Quang ] Nhan Vien Kinh Doanh,He Thong Anh Ngu Quoc Te Ocean Edu,Tuyen Quang,10.0
[OceanEdu_Tuyen Quang ] Nhan Vien Telesale,He Thong Anh Ngu Quoc Te Ocean Edu,Tuyen Quang,12.0
Nhan Vien IT Support/IT Helpdesk,"Cong Ty TNHH Phan Phoi Tien Tien - Advanced Distribution Co., Ltd. (AD)",TP HCM,7.0
NHAN VIEN HSE,Cong Ty TNHH Sharp Manufacturing Viet Nam,Binh Duong,9.0
Quan Ly Cua Hang My Pham Tai Quan 2 - Thu Duc,Cong Ty Co Phan Hasaki Beauty & Clinic,TP HCM,12.0
Quan Ly Cua Hang My Pham tai Ha Noi,Cong Ty Co Phan Hasaki Beauty & Clinic,Ha Noi,12.0
Nhan Vien Hanh Chinh Giam Sat,Cong Ty CP FIFA Investment,TP HCM,12.5
